position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Jiang Zemin,Q16597,1993-03-27,2003-03-15,male,1926-08-17,,Jiang Zemin St. Petersburg.jpg,Jiang Zemin
President,Hu Jintao,Q15029,2003-03-15,2013-03-14,male,1942-12-21,,Hu Jintao at White House 2011.jpg,Hu Jintao
President,Xi Jinping,Q15031,2013-03-14,,male,1953-06-15,,Xi Jinping 2019 (49060546152) 2.jpg,Xi Jinping
Vice President,Hu Jintao,Q15029,1998-03-15,2003-03-15,male,1942-12-21,,Hu Jintao at White House 2011.jpg,Hu Jintao
Vice President,Zeng Qinghong,Q189519,2003,2008,male,1939-07-30,,,Zeng Qinghong
Vice President,Xi Jinping,Q15031,2008-03-15,2013-03-14,male,1953-06-15,,Xi Jinping 2019 (49060546152) 2.jpg,Xi Jinping
Vice President,Li Yuanchao,Q708802,2013-03-14,2018-03-17,male,1950-11-20,,L Yuanchao.png,Li Yuanchao
Vice President,Wang Qishan,Q18113,2018-03-17,,male,1948-07-01,,Wang Qishan in May 2018.jpg,Wang Qishan
General Secretary of the Chinese Communist Party,Jiang Zemin,Q16597,1989-06-24,2002-11-15,male,1926-08-17,,Jiang Zemin St. Petersburg.jpg,Jiang Zemin
General Secretary of the Chinese Communist Party,Hu Jintao,Q15029,2002-11-15,2012-11-15,male,1942-12-21,,Hu Jintao at White House 2011.jpg,Hu Jintao
General Secretary of the Chinese Communist Party,Xi Jinping,Q15031,2012-11-15,,male,1953-06-15,,Xi Jinping 2019 (49060546152) 2.jpg,Xi Jinping
Premier of the State Council,Zhu Rongji,Q18285,1998-03-17,2003-03-16,male,1928-10-01,,Zhu Rongji 1986.jpg,Zhu Rongji
Premier of the State Council,Wen Jiabao,Q16628,2003-03-16,2013-03-15,male,1942-09-15,,Wen Jiabao - Annual Meeting of the New Champions 2012.jpg,Wen Jiabao
Premier of the State Council,Li Keqiang,Q18111,2013-03-15,,male,1955-07-01,,Li Keqiang (cropped) 2.jpg,Li Keqiang
